student_id,etaM,etaV,true_ability,wealth_pct,C_i,rule,mean_score,mean_effort,mean_effort_r1,mean_effort_r2,snr,retake_rate,score_std,effort_r1,effort_r2,access_premium,wealth_quartile
473,1.7017508558341514,1.8582305756099469,3.5599814314440983,0.8911431136980711,0.27619982041135027,SC,0.5311021596126,0.665263157894737,0.5263157894736842,0.13894736842105262,6.703006882971147,0.33,0.1661079641409807,0.5263157894736842,0.13894736842105262,-3.0288792718314985,Q4 (Highest)
473,1.7017508558341514,1.8582305756099469,3.5599814314440983,0.8911431136980711,0.27619982041135027,TAX,0.41010541479286544,0.5557894736842105,0.5263157894736842,0.029473684210526315,8.680649664774997,0.07,0.1523247532337201,0.5263157894736842,0.029473684210526315,-3.1498760166512327,Q4 (Highest)
473,1.7017508558341514,1.8582305756099469,3.5599814314440983,0.8911431136980711,0.27619982041135027,FISC,0.38493421281441526,0.5305263157894736,0.5263157894736842,0.004210526315789474,9.248285324953537,0.01,0.16645470159832645,0.5263157894736842,0.004210526315789474,-3.175047218629683,Q4 (Highest)
473,1.7017508558341514,1.8582305756099469,3.5599814314440983,0.8911431136980711,0.27619982041135027,Contextual,0.36894917921543163,0.665263157894737,0.5263157894736842,0.13894736842105262,9.64897506755369,0.33,0.1661079641409807,0.5263157894736842,0.13894736842105262,-3.1910322522286667,Q4 (Highest)
474,1.248443531584491,1.6044062699593826,2.852849801543874,0.5277011090862999,0.5306092236395901,SS,0.3015014055914758,0.43157894736842095,0.42105263157894735,0.010526315789473684,9.462144284028277,0.025,0.16953332967219023,0.42105263157894735,0.010526315789473684,-2.551348395952398,Q3
474,1.248443531584491,1.6044062699593826,2.852849801543874,0.5277011090862999,0.5306092236395901,SC,0.3015014055914758,0.43157894736842095,0.42105263157894735,0.010526315789473684,9.462144284028277,0.025,0.16953332967219023,0.42105263157894735,0.010526315789473684,-2.551348395952398,Q3
474,1.248443531584491,1.6044062699593826,2.852849801543874,0.5277011090862999,0.5306092236395901,TAX,0.338451221541585,0.5263157894736841,0.5263157894736842,0.0,8.429131348823772,0.0,0.17182675218165688,0.5263157894736842,0.0,-2.5143985800022888,Q3
474,1.248443531584491,1.6044062699593826,2.852849801543874,0.5277011090862999,0.5306092236395901,FISC,0.338451221541585,0.5263157894736841,0.5263157894736842,0.0,8.429131348823772,0.0,0.17182675218165688,0.5263157894736842,0.0,-2.5143985800022888,Q3
474,1.248443531584491,1.6044062699593826,2.852849801543874,0.5277011090862999,0.5306092236395901,Contextual,0.19734537803970265,0.43157894736842095,0.42105263157894735,0.010526315789473684,14.456126765583166,0.025,0.16953332967219023,0.42105263157894735,0.010526315789473684,-2.6555044235041714,Q3
475,1.782514735774876,1.7148698290790605,3.4973845648539363,0.9929647961193003,0.2049246427164898,SS,0.5689679829916929,0.7515789473684211,0.5263157894736842,0.22526315789473686,6.146891687058249,0.475,0.14981525188057557,0.5263157894736842,0.22526315789473686,-2.928416581862243,Q4 (Highest)
475,1.782514735774876,1.7148698290790605,3.4973845648539363,0.9929647961193003,0.2049246427164898,SC,0.6286954099184127,0.815263157894737,0.5263157894736842,0.2889473684210526,5.562923650592264,0.685,0.14550941039770504,0.5263157894736842,0.2889473684210526,-2.868689154935524,Q4 (Highest)
475,1.782514735774876,1.7148698290790605,3.4973845648539363,0.9929647961193003,0.2049246427164898,TAX,0.44914875394274645,0.6099999999999999,0.5263157894736842,0.08368421052631579,7.786695463703217,0.265,0.1263177069295481,0.5263157894736842,0.08368421052631579,-3.04823581091119,Q4 (Highest)
475,1.782514735774876,1.7148698290790605,3.4973845648539363,0.9929647961193003,0.2049246427164898,FISC,0.4155280110419797,0.5857894736842105,0.5263157894736842,0.05947368421052631,8.416723955826422,0.135,0.14349188980438451,0.5263157894736842,0.05947368421052631,-3.0818565538119564,Q4 (Highest)
475,1.782514735774876,1.7148698290790605,3.4973845648539363,0.9929647961193003,0.2049246427164898,Contextual,0.4502940398494701,0.815263157894737,0.5263157894736842,0.2889473684210526,7.766890643329602,0.685,0.145509410397705,0.5263157894736842,0.2889473684210526,-3.0470905250044664,Q4 (Highest)
476,1.3633498801353843,1.3046393676441879,2.6679892477795724,0.07379656473539886,0.8483424046852208,SS,0.2628369798538499,0.42105263157894735,0.42105263157894735,0.0,10.15073772824168,0.0,0.19015295996982035,0.42105263157894735,0.0,-2.4051522679257227,Q1 (Lowest)
476,1.3633498801353843,1.3046393676441879,2.6679892477795724,0.07379656473539886,0.8483424046852208,SC,0.2628369798538499,0.42105263157894735,0.42105263157894735,0.0,10.15073772824168,0.0,0.19015295996982035,0.42105263157894735,0.0,-2.4051522679257227,Q1 (Lowest)
476,1.3633498801353843,1.3046393676441879,2.6679892477795724,0.07379656473539886,0.8483424046852208,TAX,0.2628369798538499,0.42105263157894735,0.42105263157894735,0.0,10.15073772824168,0.0,0.19015295996982035,0.42105263157894735,0.0,-2.4051522679257227,Q1 (Lowest)
476,1.3633498801353843,1.3046393676441879,2.6679892477795724,0.07379656473539886,0.8483424046852208,FISC,0.2628369798538499,0.42105263157894735,0.42105263157894735,0.0,10.15073772824168,0.0,0.19015295996982035,0.42105263157894735,0.0,-2.4051522679257227,Q1 (Lowest)
476,1.3633498801353843,1.3046393676441879,2.6679892477795724,0.07379656473539886,0.8483424046852208,Contextual,0.2311136379052455,0.42105263157894735,0.42105263157894735,0.0,11.54405803119859,0.0,0.19015295996982035,0.42105263157894735,0.0,-2.4368756098743267,Q1 (Lowest)
477,1.4936628172747066,1.1806656138360425,2.674328431110749,0.5538542844013208,0.5123020009190755,SS,0.2599195753817668,0.4357894736842105,0.42105263157894735,0.014736842105263158,10.289061249745146,0.035,0.16980703523147275,0.42105263157894735,0.014736842105263158,-2.4144088557289822,Q3
477,1.4936628172747066,1.1806656138360425,2.674328431110749,0.5538542844013208,0.5123020009190755,SC,0.26588049785109186,0.44,0.42105263157894735,0.01894736842105263,10.05838507421678,0.045,0.16875479814201175,0.42105263157894735,0.01894736842105263,-2.408447933259657,Q3
477,1.4936628172747066,1.1806656138360425,2.674328431110749,0.5538542844013208,0.5123020009190755,TAX,0.24007846843289646,0.42263157894736836,0.42105263157894735,0.0015789473684210526,11.139393084966475,0.005,0.1760033476919331,0.42105263157894735,0.0015789473684210526,-2.4342499626778524,Q3
477,1.4936628172747066,1.1806656138360425,2.674328431110749,0.5538542844013208,0.5123020009190755,FISC,0.2405127390678886,0.42315789473684207,0.42105263157894735,0.002105263157894737,11.119279758216368,0.005,0.17645251142677248,0.42105263157894735,0.002105263157894737,-2.4338156920428604,Q3
477,1.4936628172747066,1.1806656138360425,2.674328431110749,0.5538542844013208,0.5123020009190755,Contextual,0.15755102733935364,0.44,0.42105263157894735,0.01894736842105263,16.974363647597404,0.045,0.16875479814201175,0.42105263157894735,0.01894736842105263,-2.5167774037713952,Q3
478,2.033972385235029,1.827193238619637,3.8611656238546663,0.969302535619099,0.2214882250666308,SS,0.5873875122349114,0.744736842105263,0.5263157894736842,0.21842105263157893,6.573455416448294,0.415,0.1672827559955651,0.5263157894736842,0.21842105263157893,-3.273778111619755,Q4 (Highest)
478,2.033972385235029,1.827193238619637,3.8611656238546663,0.969302535619099,0.2214882250666308,SC,0.652197161272069,0.8026315789473685,0.5263157894736842,0.2763157894736842,5.920242915997532,0.635,0.15224514077695586,0.5263157894736842,0.2763157894736842,-3.2089684625825976,Q4 (Highest)
478,2.033972385235029,1.827193238619637,3.8611656238546663,0.969302535619099,0.2214882250666308,TAX,0.48073514157499936,0.6189473684210526,0.5263157894736842,0.09263157894736843,8.031793996179676,0.22,0.13261398175028358,0.5263157894736842,0.09263157894736843,-3.380430482279667,Q4 (Highest)
478,2.033972385235029,1.827193238619637,3.8611656238546663,0.969302535619099,0.2214882250666308,FISC,0.4494466050710112,0.5873684210526315,0.5263157894736842,0.061052631578947365,8.590932894564002,0.125,0.14630582961227684,0.5263157894736842,0.061052631578947365,-3.4117190187836552,Q4 (Highest)
478,2.033972385235029,1.827193238619637,3.8611656238546663,0.969302535619099,0.2214882250666308,Contextual,0.47757174166848754,0.8026315789473685,0.5263157894736842,0.2763157894736842,8.0849960057623,0.635,0.15224514077695586,0.5263157894736842,0.2763157894736842,-3.3835938821861786,Q4 (Highest)
479,1.1245746327652388,1.455833487955714,2.5804081207209526,0.5230978441701488,0.5338315090808958,SS,0.2584012114338979,0.4273684210526315,0.42105263157894735,0.00631578947368421,9.986052721664782,0.015,0.1696105500472079,0.42105263157894735,0.00631578947368421,-2.3220069092870546,Q3
479,1.1245746327652388,1.455833487955714,2.5804081207209526,0.5230978441701488,0.5338315090808958,SC,0.2584012114338979,0.4273684210526315,0.42105263157894735,0.00631578947368421,9.986052721664782,0.015,0.1696105500472079,0.42105263157894735,0.00631578947368421,-2.3220069092870546,Q3
479,1.1245746327652388,1.455833487955714,2.5804081207209526,0.5230978441701488,0.5338315090808958,TAX,0.24875707305553477,0.42263157894736836,0.42105263157894735,0.0015789473684210526,10.373205026997882,0.005,0.16916921750459415,0.42105263157894735,0.0015789473684210526,-2.3316510476654178,Q3
479,1.1245746327652388,1.455833487955714,2.5804081207209526,0.5230978441701488,0.5338315090808958,FISC,0.24593615370737523,0.42105263157894735,0.42105263157894735,0.0,10.492187024243806,0.0,0.1742463170032833,0.42105263157894735,0.0,-2.3344719670135774,Q3
479,1.1245746327652388,1.455833487955714,2.5804081207209526,0.5230978441701488,0.5338315090808958,Contextual,0.1549797586833012,0.4273684210526315,0.42105263157894735,0.00631578947368421,16.649968632316547,0.015,0.16961055004720788,0.42105263157894735,0.00631578947368421,-2.4254283620376516,Q3
480,1.5921799036598219,1.5594877175401745,3.151667621199996,0.6293986381352625,0.4594209533053163,SS,0.3654115405960284,0.5410526315789473,0.5263157894736842,0.014736842105263158,8.624981072188532,0.035,0.15705398652188243,0.5263157894736842,0.014736842105263158,-2.786256080603968,Q3
480,1.5921799036598219,1.5594877175401745,3.151667621199996,0.6293986381352625,0.4594209533053163,SC,0.3767315970072176,0.5494736842105263,0.5263157894736842,0.023157894736842106,8.365817059776951,0.055,0.1569527859347604,0.5263157894736842,0.023157894736842106,-2.7749360241927787,Q3
480,1.5921799036598219,1.5594877175401745,3.151667621199996,0.6293986381352625,0.4594209533053163,TAX,0.3453173437017999,0.5263157894736841,0.5263157894736842,0.0,9.126873233224076,0.0,0.1667130807510563,0.5263157894736842,0.0,-2.806350277498196,Q3
480,1.5921799036598219,1.5594877175401745,3.151667621199996,0.6293986381352625,0.4594209533053163,FISC,0.3453173437017999,0.5263157894736841,0.5263157894736842,0.0,9.126873233224076,0.0,0.1667130807510563,0.5263157894736842,0.0,-2.806350277498196,Q3
480,1.5921799036598219,1.5594877175401745,3.151667621199996,0.6293986381352625,0.4594209533053163,Contextual,0.2563469917954509,0.5494736842105263,0.5263157894736842,0.023157894736842106,12.294537178399318,0.055,0.1569527859347604,0.5263157894736842,0.023157894736842106,-2.8953206294045453,Q3
481,1.4496548668820275,1.6746516326980907,3.1243064995801184,0.6957486889846172,0.412975917710768,SS,0.38157729182623595,0.551578947368421,0.5263157894736842,0.02526315789473684,8.187873247454348,0.06,0.15632813983840532,0.5263157894736842,0.02526315789473684,-2.7427292077538823,Q3
481,1.4496548668820275,1.6746516326980907,3.1243064995801184,0.6957486889846172,0.412975917710768,SC,0.3924699873304415,0.5599999999999999,0.5263157894736842,0.03368421052631579,7.960625271836639,0.08,0.15982547560075264,0.5263157894736842,0.03368421052631579,-2.731836512249677,Q3
481,1.4496548668820275,1.6746516326980907,3.1243064995801184,0.6957486889846172,0.412975917710768,TAX,0.3530128997790345,0.5263157894736841,0.5263157894736842,0.0,8.85040320491334,0.0,0.1681851104127665,0.5263157894736842,0.0,-2.771293599801084,Q3
481,1.4496548668820275,1.6746516326980907,3.1243064995801184,0.6957486889846172,0.412975917710768,FISC,0.3530128997790345,0.5263157894736841,0.5263157894736842,0.0,8.85040320491334,0.0,0.1681851104127665,0.5263157894736842,0.0,-2.771293599801084,Q3
481,1.4496548668820275,1.6746516326980907,3.1243064995801184,0.6957486889846172,0.412975917710768,Contextual,0.26149744588243773,0.5599999999999999,0.5263157894736842,0.03368421052631579,11.947751493468594,0.08,0.15982547560075266,0.5263157894736842,0.03368421052631579,-2.8628090536976805,Q3
482,1.6724807846045011,1.7186407396237124,3.391121524228214,0.45454106476777323,0.5818212546625587,SS,0.37287832810319954,0.5326315789473683,0.5263157894736842,0.00631578947368421,9.09444520811537,0.015,0.1661140479537587,0.5263157894736842,0.00631578947368421,-3.018243196125014,Q2
482,1.6724807846045011,1.7186407396237124,3.391121524228214,0.45454106476777323,0.5818212546625587,SC,0.37625182942241325,0.5347368421052631,0.5263157894736842,0.008421052631578947,9.012903749687935,0.02,0.16789549238520962,0.5263157894736842,0.008421052631578947,-3.0148696948058005,Q2
482,1.6724807846045011,1.7186407396237124,3.391121524228214,0.45454106476777323,0.5818212546625587,TAX,0.3626731235817718,0.5263157894736841,0.5263157894736842,0.0,9.350352435100195,0.0,0.17086921882780445,0.5263157894736842,0.0,-3.028448400646442,Q2
482,1.6724807846045011,1.7186407396237124,3.391121524228214,0.45454106476777323,0.5818212546625587,FISC,0.3626731235817718,0.5263157894736841,0.5263157894736842,0.0,9.350352435100195,0.0,0.17086921882780445,0.5263157894736842,0.0,-3.028448400646442,Q2
482,1.6724807846045011,1.7186407396237124,3.391121524228214,0.45454106476777323,0.5818212546625587,Contextual,0.28377045583652133,0.5347368421052631,0.5263157894736842,0.008421052631578947,11.950227567671178,0.02,0.16789549238520962,0.5263157894736842,0.008421052631578947,-3.1073510683916923,Q2
483,1.2777330500965152,1.3747695188494478,2.652502568945963,0.6275580800840634,0.46070934394115565,SS,0.293486412369346,0.44210526315789467,0.42105263157894735,0.021052631578947368,9.037905869413295,0.05,0.17302844687452268,0.42105263157894735,0.021052631578947368,-2.359016156576617,Q3
483,1.2777330500965152,1.3747695188494478,2.652502568945963,0.6275580800840634,0.46070934394115565,SC,0.29762015386631496,0.44421052631578944,0.42105263157894735,0.023157894736842106,8.912375504440517,0.055,0.17567231428218413,0.42105263157894735,0.023157894736842106,-2.354882415079648,Q3
483,1.2777330500965152,1.3747695188494478,2.652502568945963,0.6275580800840634,0.46070934394115565,TAX,0.26619028051486365,0.4242105263157894,0.42105263157894735,0.003157894736842105,9.964686027662273,0.01,0.18458615162130426,0.42105263157894735,0.003157894736842105,-2.386312288431099,Q3
483,1.2777330500965152,1.3747695188494478,2.652502568945963,0.6275580800840634,0.46070934394115565,FISC,0.2625113080075625,0.42105263157894735,0.42105263157894735,0.0,10.104336415365196,0.0,0.19101532555992556,0.42105263157894735,0.0,-2.3899912609384004,Q3
483,1.2777330500965152,1.3747695188494478,2.652502568945963,0.6275580800840634,0.46070934394115565,Contextual,0.17752925922501092,0.44421052631578944,0.42105263157894735,0.023157894736842106,14.941213524605692,0.055,0.17567231428218413,0.42105263157894735,0.023157894736842106,-2.474973309720952,Q3
484,1.3931034500738373,1.5869551923387646,2.980058642412602,0.5843143119231002,0.4909799816538299,SS,0.36265508279287756,0.5389473684210525,0.5263157894736842,0.01263157894736842,8.21733593105214,0.03,0.16849544385752782,0.5263157894736842,0.01263157894736842,-2.6174035596197243,Q3
484,1.3931034500738373,1.5869551923387646,2.980058642412602,0.5843143119231002,0.4909799816538299,SC,0.36403883741187554,0.5389473684210525,0.5263157894736842,0.01263157894736842,8.186100866597778,0.03,0.1702385229573139,0.5263157894736842,0.01263157894736842,-2.616019805000726,Q3
484,1.3931034500738373,1.5869551923387646,2.980058642412602,0.5843143119231002,0.4909799816538299,TAX,0.3431733775639689,0.5263157894736841,0.5263157894736842,0.0,8.683828167460652,0.0,0.16804447144519558,0.5263157894736842,0.0,-2.636885264848633,Q3
484,1.3931034500738373,1.5869551923387646,2.980058642412602,0.5843143119231002,0.4909799816538299,FISC,0.3431733775639689,0.5263157894736841,0.5263157894736842,0.0,8.683828167460652,0.0,0.16804447144519558,0.5263157894736842,0.0,-2.636885264848633,Q3
484,1.3931034500738373,1.5869551923387646,2.980058642412602,0.5843143119231002,0.4909799816538299,Contextual,0.2508486497638856,0.5389473684210525,0.5263157894736842,0.01263157894736842,11.879907048403965,0.03,0.17023852295731387,0.5263157894736842,0.01263157894736842,-2.729209992648716,Q3
485,2.2178924662050963,2.349162457372508,4.567054923577604,0.901158010490989,0.2691893926563078,SS,0.6851180297088922,0.7868421052631581,0.631578947368421,0.15526315789473685,6.666084857696934,0.295,0.17597103063916483,0.631578947368421,0.15526315789473685,-3.881936893868712,Q4 (Highest)
485,2.2178924662050963,2.349162457372508,4.567054923577604,0.901158010490989,0.2691893926563078,SC,0.6965852965797552,0.7626315789473685,0.5263157894736842,0.23631578947368417,6.556347005889897,0.52,0.17589345059827777,0.5263157894736842,0.23631578947368417,-3.870469626997849,Q4 (Highest)
485,2.2178924662050963,2.349162457372508,4.567054923577604,0.901158010490989,0.2691893926563078,TAX,0.5965731917834008,0.6926315789473685,0.631578947368421,0.061052631578947365,7.6554813164245825,0.145,0.15130783820978164,0.631578947368421,0.061052631578947365,-3.9704817317942034,Q4 (Highest)
485,2.2178924662050963,2.349162457372508,4.567054923577604,0.901158010490989,0.2691893926563078,FISC,0.566049698931996,0.6663157894736844,0.631578947368421,0.034736842105263156,8.068293176720301,0.07,0.16612988628029718,0.631578947368421,0.034736842105263156,-4.001005224645608,Q4 (Highest)
485,2.2178924662050963,2.349162457372508,4.567054923577604,0.901158010490989,0.2691893926563078,Contextual,0.5328341698767661,0.7626315789473685,0.5263157894736842,0.23631578947368417,8.571250084494155,0.52,0.17589345059827777,0.5263157894736842,0.23631578947368417,-4.034220753700838,Q4 (Highest)
486,1.646185816175883,1.2916852800486582,2.9378710962245416,0.04544638034145787,0.8681875337609795,SS,0.3168778378476627,0.5263157894736841,0.5263157894736842,0.0,9.271305043544595,0.0,0.17899311936318144,0.5263157894736842,0.0,-2.620993258376879,Q1 (Lowest)
486,1.646185816175883,1.2916852800486582,2.9378710962245416,0.04544638034145787,0.8681875337609795,SC,0.3168778378476627,0.5263157894736841,0.5263157894736842,0.0,9.271305043544595,0.0,0.17899311936318144,0.5263157894736842,0.0,-2.620993258376879,Q1 (Lowest)
486,1.646185816175883,1.2916852800486582,2.9378710962245416,0.04544638034145787,0.8681875337609795,TAX,0.3168778378476627,0.5263157894736841,0.5263157894736842,0.0,9.271305043544595,0.0,0.17899311936318144,0.5263157894736842,0.0,-2.620993258376879,Q1 (Lowest)
486,1.646185816175883,1.2916852800486582,2.9378710962245416,0.04544638034145787,0.8681875337609795,FISC,0.3168778378476627,0.5263157894736841,0.5263157894736842,0.0,9.271305043544595,0.0,0.17899311936318144,0.5263157894736842,0.0,-2.620993258376879,Q1 (Lowest)
